PING 120.0.0.1 (120.0.0.1) 56(84) bytes of data.
64 bytes from 120.0.0.1: icmp_seq=1 ttl=246 time=15.1 ms
64 bytes from 120.0.0.1: icmp_seq=2 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=3 ttl=246 time=15.0 ms
64 bytes from 120.0.0.1: icmp_seq=4 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=5 ttl=246 time=14.7 ms
64 bytes from 120.0.0.1: icmp_seq=6 ttl=246 time=15.8 ms
64 bytes from 120.0.0.1: icmp_seq=7 ttl=246 time=14.1 ms
64 bytes from 120.0.0.1: icmp_seq=8 ttl=246 time=14.7 ms
64 bytes from 120.0.0.1: icmp_seq=9 ttl=246 time=14.4 ms
64 bytes from 120.0.0.1: icmp_seq=10 ttl=246 time=14.2 ms
64 bytes from 120.0.0.1: icmp_seq=11 ttl=246 time=14.4 ms
64 bytes from 120.0.0.1: icmp_seq=12 ttl=246 time=15.3 ms
64 bytes from 120.0.0.1: icmp_seq=13 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=14 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=15 ttl=246 time=14.2 ms
64 bytes from 120.0.0.1: icmp_seq=16 ttl=246 time=15.9 ms
64 bytes from 120.0.0.1: icmp_seq=17 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=18 ttl=246 time=15.1 ms
64 bytes from 120.0.0.1: icmp_seq=19 ttl=246 time=15.6 ms
64 bytes from 120.0.0.1: icmp_seq=20 ttl=246 time=14.2 ms
64 bytes from 120.0.0.1: icmp_seq=21 ttl=246 time=16.4 ms
64 bytes from 120.0.0.1: icmp_seq=22 ttl=246 time=14.7 ms
64 bytes from 120.0.0.1: icmp_seq=23 ttl=246 time=19.2 ms
64 bytes from 120.0.0.1: icmp_seq=24 ttl=246 time=14.8 ms
64 bytes from 120.0.0.1: icmp_seq=25 ttl=246 time=14.7 ms
64 bytes from 120.0.0.1: icmp_seq=26 ttl=246 time=15.0 ms
64 bytes from 120.0.0.1: icmp_seq=27 ttl=246 time=14.5 ms
64 bytes from 120.0.0.1: icmp_seq=28 ttl=246 time=14.8 ms
64 bytes from 120.0.0.1: icmp_seq=29 ttl=246 time=16.5 ms
64 bytes from 120.0.0.1: icmp_seq=30 ttl=246 time=14.6 ms
64 bytes from 120.0.0.1: icmp_seq=31 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=32 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=33 ttl=246 time=14.6 ms
64 bytes from 120.0.0.1: icmp_seq=34 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=35 ttl=246 time=14.3 ms
64 bytes from 120.0.0.1: icmp_seq=36 ttl=246 time=14.6 ms
64 bytes from 120.0.0.1: icmp_seq=37 ttl=246 time=15.7 ms
64 bytes from 120.0.0.1: icmp_seq=38 ttl=246 time=14.2 ms
64 bytes from 120.0.0.1: icmp_seq=39 ttl=246 time=14.7 ms
64 bytes from 120.0.0.1: icmp_seq=40 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=41 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=42 ttl=246 time=14.6 ms
64 bytes from 120.0.0.1: icmp_seq=43 ttl=246 time=14.7 ms
PING 120.0.0.1 (120.0.0.1) 56(84) bytes of data.
64 bytes from 120.0.0.1: icmp_seq=1 ttl=246 time=15.5 ms
64 bytes from 120.0.0.1: icmp_seq=2 ttl=246 time=14.8 ms
64 bytes from 120.0.0.1: icmp_seq=3 ttl=246 time=14.6 ms
